Year,Tsu,Location Name,Latitude,Longitude
1948,Tidak Terjadi Tsunami,INDONESIA:  SERAM,-3,127.5
1948,Terjadi Tsunami,INDONESIA:  OFF NORTHWEST COAST,6,95
1949,Terjadi Tsunami,INDONESIA:  BANDA ACEH,5,95
1950,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  GRESIK,-6,113
1950,Terjadi Tsunami,INDONESIA:  SERAM,-3.8,128.3
1950,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-6.5,129.5
1954,Tidak Terjadi Tsunami,"INDONESIA:  SUMABAWA:  BIMA,RABA",-8,119
1956,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-5.5,130
1957,Tidak Terjadi Tsunami,INDONESIA:  JAVA SEA,-4.6,107.1
1957,Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.5,137
1957,Terjadi Tsunami,S. JAVA SEA,-8.2,107.3
1957,Terjadi Tsunami,INDONESIA:  KALIMANTAN ISLAND,-2,116
1958,Terjadi Tsunami,INDONESIA:  SUMATRA:  BENGKULU,-4.5,104
1958,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  MALANG,-9.5,112.5
1960,Tidak Terjadi Tsunami,INDONESIA:  CENTRAL SULAWESI:  UNA-UNA ISLAND,-0.5,121.5
1961,Tidak Terjadi Tsunami,INDONESIA:  FLORES:  ENDEH,-8.2,122
1963,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.2,115.6
1963,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-6.86,129.58
1963,Terjadi Tsunami,"INDONESIA:  JAVA:  LABUHAN, MENES, PONOROGO",-6.4,105.4
1964,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  PINRANG,-3.7,119.4
1964,Terjadi Tsunami,INDONESIA:  BANDA ACEH,5.9,95.7
1965,Terjadi Tsunami,INDONESIA:  SANANA ISLAND,-2.4,126.1
1967,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK",-9.2,113.1
1967,Terjadi Tsunami,INDONESIA:  MAKASSAR STRAIT,-3.7,119.3
1967,Terjadi Tsunami,"INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA",5.5,97.3
1968,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-2.9,139.3
1968,Terjadi Tsunami,"INDONESIA:  MOLUCCA ISLANDS: MANADO, CELEBES",1.4,126.2
1968,Terjadi Tsunami,"INDONESIA:  SULAWESI:  TAMBU,COAST OF MAPAGA",0.2,119.8
1969,Tidak Terjadi Tsunami,"INDONESIA:  TALAUD ISLANDS, MINDANAO, VISAYAN",4.8,127.4
1969,Terjadi Tsunami,"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",-3.1,118.9
1969,Tidak Terjadi Tsunami,INDONESIA:  OFF NW COAST SUMATERA,2.1,94.6
1971,Tidak Terjadi Tsunami,"INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI",-3.1,139.7
1971,Tidak Terjadi Tsunami,"INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN",0.6,98.8
1971,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG",-7.2,109.1
1972,Tidak Terjadi Tsunami,INDONESIA:  CELEBES SEA,3.9,124.3
1975,Terjadi Tsunami,INDONESIA:  MALUKU:  BANDANAIRA,-5,130
1975,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-6.7,106.7
1976,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-4.603,140.091
1976,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.17,114.888
1976,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA,-4.517,139.918
1977,Tidak Terjadi Tsunami,"INDONESIA:  BALI: KAYUBIHI,BANJAR ANTUGAN JEHEM",-8.22,115.19
